[36m[2022-10-15 09:59:20,492] [font_manager.py:1341] [font_manager:_findfont_cached] [DEBUG]- findfont: score(FontEntry(fname='D:\\apache-tomcat-9.0.53-windows-x64\\Anaconda\\envs\\SpiderDemo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05[0m
[36m[2022-10-15 09:59:20,492] [font_manager.py:1341] [font_manager:_findfont_cached] [DEBUG]- findfont: score(FontEntry(fname='D:\\apache-tomcat-9.0.53-windows-x64\\Anaconda\\envs\\SpiderDemo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996[0m
[36m[2022-10-15 09:59:20,492] [font_manager.py:1341] [font_manager:_findfont_cached] [DEBUG]- findfont: score(FontEntry(fname='D:\\apache-tomcat-9.0.53-windows-x64\\Anaconda\\envs\\SpiderDemo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335[0m
[36m[2022-10-15 09:59:20,494] [font_manager.py:1341] [font_manager:_findfont_cached] [DEBUG]- findfont: score(FontEntry(fname='D:\\apache-tomcat-9.0.53-windows-x64\\Anaconda\\envs\\SpiderDemo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05[0m
[36m[2022-10-15 09:59:20,494] [font_manager.py:1341] [font_manager:_findfont_cached] [DEBUG]- findfont: score(FontEntry(fname='D:\\apache-tomcat-9.0.53-windows-x64\\Anaconda\\envs\\SpiderDemo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335[0m
[36m[2022-10-15 09:59:20,495] [font_manager.py:1341] [font_manager:_findfont_cached] [DEBUG]- findfont: score(FontEntry(fname='D:\\apache-tomcat-9.0.53-windows-x64\\Anaconda\\envs\\SpiderDemo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335[0m
[36m[2022-10-15 09:59:20,495] [font_manager.py:1341] [font_manager:_findfont_cached] [DEBUG]- findfont: score(FontEntry(fname='D:\\apache-tomcat-9.0.53-windows-x64\\Anaconda\\envs\\SpiderDemo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05[0m
[36m[2022-10-15 09:59:20,496] [font_manager.py:1341] [font_manager:_findfont_cached] [DEBUG]- findfont: score(FontEntry(fname='D:\\apache-tomcat-9.0.53-windows-x64\\Anaconda\\envs\\SpiderDemo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335[0m
[36m[2022-10-15 09:59:20,500] [font_manager.py:1341] [font_manager:_findfont_cached] [DEBUG]- findfont: score(FontEntry(fname='D:\\apache-tomcat-9.0.53-windows-x64\\Anaconda\\envs\\SpiderDemo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05[0m
[36m[2022-10-15 09:59:20,501] [font_manager.py:1341] [font_manager:_findfont_cached] [DEBUG]- findfont: score(FontEntry(fname='D:\\apache-tomcat-9.0.53-windows-x64\\Anaconda\\envs\\SpiderDemo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05[0m
[36m[2022-10-15 09:59:20,502] [font_manager.py:1341] [font_manager:_findfont_cached] [DEBUG]- findfont: score(FontEntry(fname='D:\\apache-tomcat-9.0.53-windows-x64\\Anaconda\\envs\\SpiderDemo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05[0m
[36m[2022-10-15 09:59:20,503] [font_manager.py:1341] [font_manager:_findfont_cached] [DEBUG]- findfont: score(FontEntry(fname='D:\\apache-tomcat-9.0.53-windows-x64\\Anaconda\\envs\\SpiderDemo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05[0m
